t,valid,kappa,mq,a,kL,kS,mqL,g,h
0,True,,-0.8289880075985688,,0.6003681349431237,0.017677075927890425,-0.9694192541993172,-0.011280060716836722,
1,True,,-0.8289880075985688,,0.7225345336934454,0.028302862114566764,-0.9694192541993172,-0.016035101820658468,
2,True,0.192455726769661,-0.8289880075985688,0.46191212024367057,0.7606222421941313,0.03183583190533355,-0.9694192541993172,-0.01759505415925914,-0.014524725587584532
3,True,1.7188310037230754,-0.8289880075985688,0.4448332458286643,0.8206830914972468,0.02606973409014213,-0.9694192541993172,-0.016065535869508398,-0.015736284061598244
4,True,1.1812282656542803,-0.8289880075985688,0.3855698096833691,0.7606222421941313,0.02518286138942609,-0.9694192541993172,-0.015253970094253192,-0.022206082526726276
5,True,1.0812675955016728,-0.8289880075985688,0.33901833929883946,0.6003681349431237,0.022353718234001643,-0.9694192541993172,-0.012925703479628415,-0.02340017587351659
6,True,0.0085054059456063,-0.8289880075985688,0.373723390018136,0.4730241976320669,0.018959321106838053,-0.9694192541993172,-0.01067222524321376,-0.018692940444100924
7,True,0.2758296854891051,-0.8289880075985688,0.3968779131046262,0.4730241976320669,0.008702000655299962,-0.9694192541993172,-0.007062822585958782,-0.012879424016211366
8,True,0.7225345336934454,-0.8289880075985688,0.4229082376135172,0.4730241976320669,-7.106990608943045e-05,-0.9694192541993172,-0.0039757059899460274,-0.006731605553800216
9,True,0.3988689138266012,-0.8289880075985688,0.322106579198316,0.4730241976320669,0.01083794255314613,-0.9694192541993172,-0.007814429635602254,-0.0191400558878439
10,True,0.0722034706114795,-0.8289880075985688,0.39685430671614597,0.6384558434438096,0.019649429339560622,-0.9694192541993172,-0.01229085473165487,-0.01810994643843824
11,True,0.9150987120733726,-0.8289880075985688,0.2895683745763756,0.6384558434438096,0.007349190529142801,-0.9694192541993172,-0.007962578662193123,-0.020342365640864134
12,True,1.2489088091892475,-0.8289880075985688,0.2689102486554578,0.6384558434438096,0.005615507028728116,-0.9694192541993172,-0.007352520522467408,-0.02003247360250697
13,True,0.3197280993470981,-0.8289880075985688,0.2225722900986712,0.4730241976320669,0.0010355907173556715,-0.9694192541993172,-0.00436512385144447,-0.01679351664482233
14,True,0.1210928429222567,-0.8289880075985688,0.22191804458513661,0.6384558434438096,0.0008747764194140591,-0.9694192541993172,-0.00568432601305025,-0.018100801183184582
15,True,1.8006335659746011,-1.1098505008000654,0.32738122992080965,0.7116439581713436,-0.007506483499475012,-0.6912819596148172,-0.003324555045024937,-0.014407856255021242
16,True,2.506616539234192,-1.1098505008000654,0.2818742508334716,0.7116439581713436,-0.0011733178308883996,-0.27271341842956903,-0.005524231212281256,-0.01804778711642866
17,True,0.0018822146033968,-1.1098505008000654,0.34244201998502743,0.7116439581713436,0.011175458279534088,-0.27271341842956903,-0.009869586855345149,-0.020145098091475862
18,True,0.4678466590713319,-1.1098505008000654,0.250637847271013,0.7116439581713436,-0.0012879325563054393,-0.27271341842956903,-0.005483899948728037,-0.018209817663065543
