task_idx,start_utc,end_utc,mid_utc,p00,p01,p10,p11,Entropy,theta_q,radius,d2theta,kappa_H
0,2026-02-01 09:38:32.419000+00:00,2026-02-01 09:38:34.617000+00:00,2026-02-01 09:38:33.518000+00:00,0.34,0.27,0.19,0.2,1.9588073516340472,0.4894872728968097,3.3560181037617918,,
1,2026-02-01 09:38:44.258000+00:00,2026-02-01 09:38:44.802000+00:00,2026-02-01 09:38:44.530000+00:00,0.33,0.21,0.21,0.25,1.9734687653758831,-0.969196474463065,1.0530304925718887,,
2,2026-02-01 09:38:50.877000+00:00,2026-02-01 09:38:51.678000+00:00,2026-02-01 09:38:51.277500+00:00,0.44,0.1,0.19,0.27,1.8185876149486768,0.2231698782020856,0.8557038947096607,2.6510501000250253,2.2685138956618496
3,2026-02-01 09:39:00.858000+00:00,2026-02-01 09:39:01.386000+00:00,2026-02-01 09:39:01.122000+00:00,0.28,0.17,0.29,0.26,1.9719993132825921,-2.8803228225648554,2.8452494402862674,-4.295859053432092,12.222790567326353
4,2026-02-01 09:39:06.217000+00:00,2026-02-01 09:39:06.978000+00:00,2026-02-01 09:39:06.597500+00:00,0.33,0.18,0.21,0.28,1.9601735931674709,-1.8913784296426033,1.8849419748712886,4.092437093689193,7.7140064574150236
5,2026-02-01 09:39:10.877000+00:00,2026-02-01 09:39:11.492000+00:00,2026-02-01 09:39:11.184500+00:00,0.25,0.17,0.31,0.27,1.9684029775146794,-3.009005382435343,4.198430513493089,-2.106571345714992,8.84429341670002
6,2026-02-01 09:39:15.677000+00:00,2026-02-01 09:39:16.236000+00:00,2026-02-01 09:39:15.956500+00:00,0.33,0.28,0.19,0.2,1.9616549056788595,0.5462042573319595,3.308012241182798,-1.6103487146195437,5.327053260534434
7,2026-02-01 09:39:20.500000+00:00,2026-02-01 09:39:21.019000+00:00,2026-02-01 09:39:20.759500+00:00,0.32,0.2,0.28,0.2,1.9690255736438986,1.3174086391216455,1.1390103311102044,3.4991800492019696,3.985602226455757
8,2026-02-01 09:39:25.358000+00:00,2026-02-01 09:39:26.165000+00:00,2026-02-01 09:39:25.761500+00:00,0.34,0.24,0.23,0.19,1.9662023461294045,0.5854377019141258,2.7566442763520316,-1.5031753189972061,4.143719639467288
9,2026-02-01 09:39:31.337000+00:00,2026-02-01 09:39:31.848000+00:00,2026-02-01 09:39:31.592500+00:00,0.34,0.15,0.28,0.23,1.9416066063395732,2.963946958855208,0.7186981368143397,3.110480194148603,2.2354963201325067
10,2026-02-01 09:39:38.499000+00:00,2026-02-01 09:39:39.012000+00:00,2026-02-01 09:39:38.755500+00:00,0.29,0.24,0.27,0.2,1.9864454564531522,1.4036391347045383,1.3756372286525078,-3.938817081091752,5.418383413602218
11,2026-02-01 09:39:43.897000+00:00,2026-02-01 09:39:44.689000+00:00,2026-02-01 09:39:44.293000+00:00,0.35,0.18,0.25,0.22,1.9559816300408326,0.21268519271270694,0.7683457586902622,0.36935388215883824,0.2837914888125263
12,2026-02-01 09:39:50.018000+00:00,2026-02-01 09:39:50.527000+00:00,2026-02-01 09:39:50.272500+00:00,0.31,0.22,0.22,0.25,1.9849413739108202,-1.4433558968012627,0.8193766041819486,-0.4650871475221381,0.38108152758535846
