session,n_valid,points_csv
P10_co_recon_features_W30,418,IDPC_Reproduction/P10_co_recon_features_W30_points.csv
P11_co_recon_features_W30,418,IDPC_Reproduction/P11_co_recon_features_W30_points.csv
P12_co_recon_features_W30,418,IDPC_Reproduction/P12_co_recon_features_W30_points.csv
P13_co_recon_features_W30,418,IDPC_Reproduction/P13_co_recon_features_W30_points.csv
P14_co_recon_features_W30,418,IDPC_Reproduction/P14_co_recon_features_W30_points.csv
P15_co_recon_features_W30,418,IDPC_Reproduction/P15_co_recon_features_W30_points.csv
P16_co_recon_features_W30,418,IDPC_Reproduction/P16_co_recon_features_W30_points.csv
P17_co_recon_features_W30,418,IDPC_Reproduction/P17_co_recon_features_W30_points.csv
P18_co_recon_features_W30,418,IDPC_Reproduction/P18_co_recon_features_W30_points.csv
P19_co_recon_features_W30,418,IDPC_Reproduction/P19_co_recon_features_W30_points.csv
P1_co_recon_features_W30,418,IDPC_Reproduction/P1_co_recon_features_W30_points.csv
P20_co_recon_features_W30,418,IDPC_Reproduction/P20_co_recon_features_W30_points.csv
P21_co_recon_features_W30,418,IDPC_Reproduction/P21_co_recon_features_W30_points.csv
P22_co_recon_features_W30,418,IDPC_Reproduction/P22_co_recon_features_W30_points.csv
P23_co_recon_features_W30,418,IDPC_Reproduction/P23_co_recon_features_W30_points.csv
P24_co_recon_features_W30,418,IDPC_Reproduction/P24_co_recon_features_W30_points.csv
P25_co_recon_features_W30,418,IDPC_Reproduction/P25_co_recon_features_W30_points.csv
P26_co_recon_features_W30,418,IDPC_Reproduction/P26_co_recon_features_W30_points.csv
P2_co_recon_features_W30,418,IDPC_Reproduction/P2_co_recon_features_W30_points.csv
P3_co_recon_features_W30,418,IDPC_Reproduction/P3_co_recon_features_W30_points.csv
P4_co_recon_features_W30,418,IDPC_Reproduction/P4_co_recon_features_W30_points.csv
P5_co_recon_features_W30,418,IDPC_Reproduction/P5_co_recon_features_W30_points.csv
P6_co_recon_features_W30,418,IDPC_Reproduction/P6_co_recon_features_W30_points.csv
P7_co_recon_features_W30,418,IDPC_Reproduction/P7_co_recon_features_W30_points.csv
P8_co_recon_features_W30,418,IDPC_Reproduction/P8_co_recon_features_W30_points.csv
P9_co_recon_features_W30,418,IDPC_Reproduction/P9_co_recon_features_W30_points.csv
