task_idx,E_Ricci,Q_Ricci_raw,Q_Ricci_shifted,Q_Ricci_affine,H1_cycle_rank
0,-3.8074047425406325,-0.023356544944461266,0.001990205414527619,-5.7753879423828645,12.375
1,-4.63414743654294,-0.029379526812436576,0.002819011058261806,-5.743003368719532,15.125
2,-5.8203523901678675,-0.03405820021591758,0.006484370827812403,-5.599783888547055,19.0
3,-6.738105451223977,-0.03892350772922346,0.0052463695995526895,-5.648157282568887,22.0
4,-7.552163826762593,-0.0021395671997188753,0.009998430230400968,-5.462476286408003,24.625
5,-7.272593693655052,0.001990205414527619,0.010748333175439172,-5.4331747398421255,23.75
6,-7.31500544578765,0.002819011058261806,0.009525046460674216,-5.480973182124918,23.75
7,-7.65051791181404,0.006484370827812403,-0.03833474380253147,-7.351036344710598,24.625
8,-7.566735574866858,0.0052463695995526895,-0.03628505136385206,-7.270947102715913,24.375
9,-7.6062362996109165,0.009998430230400968,-0.039070377925274465,-7.379780354379615,24.5
10,-7.415853798793246,0.010748333175439172,-0.04039428997006844,-7.431510609189697,23.75
11,-7.292374726403081,0.009525046460674216,-0.0447575135054626,-7.601998268220256,23.375
12,-7.598188292397657,-0.03833474380253147,-0.05000578627829632,-7.807068151011262,24.25
13,-7.745991131744411,-0.03628505136385206,-0.053978516798392176,-7.96229776985526,24.875
14,-7.841175289995189,-0.039070377925274465,-0.05467413226998757,-7.98947809934691,25.25
15,-7.579067333241603,-0.04039428997006844,-0.04963730014483133,-7.792670002997515,24.625
16,-7.828077906983633,-0.0447575135054626,-0.04977258934679853,-7.797956264209759,25.25
17,-7.985271026597377,-0.05000578627829632,-0.06046077643115153,-8.215584190102257,25.625
18,-8.18721872693959,-0.053978516798392176,-0.06130724254599236,-8.248658825219449,26.375
19,-8.30698671958695,-0.05467413226998757,-0.059497156565558006,-8.177931914497373,26.625
20,-7.995872211732365,-0.04963730014483133,-0.07001895467706622,-8.589058393411806,25.875
21,-8.02136556192955,-0.04977258934679853,-0.06507504878094397,-8.39588127657149,25.625
22,-7.8879709396299855,-0.06046077643115153,-0.05829083908127773,-8.130796524280882,25.25
23,-7.8572623754386415,-0.06130724254599236,-0.052251821472732884,-7.894829247662283,25.375
24,-7.768335577947156,-0.059497156565558006,-0.048187761812322885,-7.736031053610729,25.125
25,-7.961462780718611,-0.07001895467706622,,,25.75
26,-7.822735250952145,-0.06507504878094397,,,25.25
27,-6.908693269638839,-0.05829083908127773,,,22.375
28,-6.099935835960231,-0.052251821472732884,,,19.625
29,-5.032663769500925,-0.048187761812322885,,,16.375
